ItemID,Property,Item,Voice,CompQ,CompQOptCorrect,CompQOptIncorrect
1,is an actor,"An actor is a person who portrays a character in a performance.
Actors working in theatre, film, television, and radio have to learn specific skills.
Techniques that work well for one type of actor may not work well for another type of actor.
Stage actors need to learn the stage directions that appear in the script.
Film actors have to learn to be comfortable with a camera being in front of them.
Radio actors rely on dialogue to help the listener imagine the characters and story.",CS,Which type of acting medium was NOT discussed in the passage?,Commercials,Television
2,owns a bagpipe,"The bagpipe is a woodwind instrument using enclosed reeds fed from a constant reservoir of air in the form of a bag.
The Scottish Great Highland bagpipe is the best known example of a bagpipe in the Anglophone world, but people have played bagpipes for centuries throughout the world.
In the United Kingdom, the bagpipe is commonly used in the military.
As Western classical music developed, bagpipes fell out of favour due to their limited range and function.
Recently, many types of bagpipes have enjoyed a resurgence in popularity.",NJ,The best-known bagpipe in the Anglophone world comes from ___________.,Scotland,Ireland
3,is a bellhop,"A bellhop is a hotel porter who helps patrons with their luggage while checking in or out.
Bellhops often wear a uniform.
The name bellhop is derived from a hotel's front-desk clerk ringing a bell to summon a porter, who would hop to attention at the desk to receive instructions.
Today's bellhops need to be quick-witted, good with people, and outgoing.
Bellhops meet a variety of people each day and need to have the social skills to deal with them.
While carrying luggage, bellhops escort guests to their rooms.
In most countries, it is customary to tip a bellhop for their service.",BL,"According to the passage, who would ring a bell to summon the hotel porter?",The front desk clerk,The patron
4,likes to crochet,"Crochet is a process of creating textiles by using a crochet hook to interlock loops of yarn, thread, or strands of other materials.
The name 'crochet' is derived from a French term meaning 'small hook'.
The key difference between crochet and knitting is that each stitch in crochet is completed before the next one is begun, while knitting keeps many stitches open at a time.
However, some variant forms of crochet, such as Tunisian crochet and broomstick lace, do keep multiple stitches open at a time.",MT,Which style of needlework closes each stitch before starting the next one?,Crochet,Knitting
5,likes to flirt,"Flirting is a social and sexual behavior involving speech and body language, either for amusement or to invite a deeper relationship with the person with whom one flirts.
Flirting may involve double entendres, flicking the hair, eye contact, brief touching, open stances, proximity, and other gestures.
Flirting may be done in an exaggerated, shy or frivolous flirting style. 
Flirting behavior varies across cultures due to different modes of social etiquette.
Nonetheless, according to some anthropologists, some flirting behaviors may be more universal, such as a prolonged stare followed by a nonchalant break of gaze along with a little smile.",CS,"According to the passage, which of the following flirting behaviors may be culturally universal?",Smiling,Brief touching
6,owns a limousine,"A limousine is a large luxury vehicle driven by a chauffeur with a partition between the driver's compartment and the passenger's compartment.
Stretch limousines are longer than regular limousines, usually in order to accommodate more passengers.
Stretch limousines may have seating along the sides of the cabin.
A variety of vehicles have been converted into novelty limousines for weddings, parties and other social occasions.
Another style of novelty limousine are those painted in bright colours, such as purple or pink.
Presidents of the United States have ridden in a variety of brands of limousine stretching back to 1899.",NJ,"According to the passage, which of the following features is common to all limousines?",A partition between the driver and passenger,Seating along the sides of the cabin
7,is an ophthalmologist,"Ophthalmologists are medical doctors who diagnose and treat disorders of the eye.
Ophthalmologists have a degree in medicine, followed by additional four to five years of residency training.
Residency training programs for ophthalmologists may require a one-year internship with training in internal medicine, pediatrics, or general surgery.
Ophthalmologists may seek additional specialty training in a particular aspect of eye pathology.
Ophthalmologists are allowed to prescribe medications to treat eye diseases, implement laser therapy, and perform surgery when needed.
Ophthalmologists may participate in academic research on the diagnosis and treatment for eye disorders.
They may also attend conferences for ophthalmologists.",BL,How many years of residency are required to become an ophthalmologist?,4-5,2-3
8,likes to paint,"Painting is the practice of applying paint, pigment, color or other medium to a solid surface.
The medium is commonly applied to the base with a paint brush.
Painting is an important form in the visual arts.
Paintings can be naturalistic and representational, photographic, abstract, narrative, symbolistic, emotive or political in nature.
A portion of the history of painting in both Eastern and Western art is dominated by religious art.
Examples of this kind of painting range from artwork depicting mythological figures on pottery, to Biblical scenes on the Sistine Chapel ceiling, to scenes from the life of Buddha.",MT,Which of the following examples of religious painting was NOT mentioned in the passage?,Eastern Orthodox iconography,mythological figures on pottery
9,is a paralegal,"A paralegal assists attourneys in the delivery of legal services.
Many paralegals have completed a formal paralegal education program.
Others have only on-the-job paralegal training.
Paralegals are usually employed by a lawyer, law office, corporation, or governmental agency.
Aside from tasks legally reserved for lawyers, such as giving legal advice, a paralegal can perform practically any other legal task.
Paralegals may analyze and summarize depositions, prepare and answer interrogatories, draft procedural motions and other routine briefs, perform legal research and analysis, draft research memos, and perform case and project management.",CS,"According to the passage, paralegals are required to complete a formal paralegal education program.",FALSE,TRUE
10,owns a pub,"A pub is an establishment licensed to serve alcoholic drinks for consumption on the premises.
The word ""pub"" is short for ""public house"".
Although the drinks traditionally served at pubs include draft beer and cider, most also sell wine, spirits, coffee, and soft drinks.
Many pubs also offer meals and snacks.
Pubs are typically chosen for their proximity to home or work, good food, social atmosphere, the presence of friends and acquaintances, and the availability of pub games such as darts or snooker.
Pubs often screen sporting events, such as rugby and football.",NJ,Which type of beverage was NOT mentioned in the passage?,Tea,Coffee
